TEAM,W,D,L,RESULTS
Norwich-Wolves,3.75,3.8,1.9,l
Man City-Leicester,1.36,5.25,7.5,w
Watford-Man United,4.33,4,1.75,w
Tottenham-Chelsea,2.37,3.75,2.75,l
Tottenham-Brighton,1.53,4.33,6,w
Aston Villa-Norwich,2.1,3.75,3.3,w
Bournemouth-Arsenal,3.5,3.9,1.95,d
Chelsea-Southampton,1.33,5.25,9,l
Crystal Palace-West Ham,2.3,3.4,3.1,w
Everton-Burnley,1.7,3.75,5,w
Sheffield United-Watford,1.83,3.6,4.33,d
Man United-Newcastle,1.33,5.25,9,w
Leicester-Liverpool,3.4,3.75,2.05,l
Wolves-Man City,8.5,5,1.36,w
Brighton-Bournemouth,1.75,3.9,4.33,w
Newcastle-Everton,3.6,3.4,2.05,l
Southampton-Crystal Palace,1.95,3.6,3.8,d
Watford-Aston Villa,1.95,3.8,3.6,w
Norwich-Tottenham,5,4,1.66,d
West Ham-Leicester,4,3.9,1.83,l
Burnley-Man United,4.33,3.75,1.8,l
Arsenal-Chelsea,2.87,3.75,2.3,l
Liverpool-Wolves,1.25,5.75,12,w
Man City-Sheffield United,1.16,7.5,16,w
Brighton-Chelsea,3.6,3.6,1.95,d
Burnley-Aston Villa,1.75,3.8,4.33,l
Newcastle-Leicester,5,3.8,1.66,l
Southampton-Tottenham,3.3,3.5,2.1,w
Watford-Wolves,3,3.4,2.3,w
Man City-Everton,1.25,6.5,10,w
Norwich-Crystal Palace,2.5,3.4,2.75,d
West Ham-Bournemouth,1.9,3.75,3.8,w
Arsenal-Man United,2.55,3.6,2.62,w
Liverpool-Sheffield United,1.2,6.5,13,w
Sheffield United-West Ham,1.95,3.4,4,w
Crystal Palace-Arsenal,4.1,3.9,1.8,d
Chelsea-Burnley,1.28,5.5,11,w
Everton-Brighton,1.85,3.8,4,w
Leicester-Southampton,1.6,4,5.5,l
Man United-Norwich,1.33,5.25,8.5,w
Wolves-Newcastle,1.44,4.5,7.5,d
Tottenham-Liverpool,4.5,4.33,1.66,l
Bournemouth-Watford,2.6,3.3,2.7,l
Aston Villa-Man City,13,8.5,1.16,l
Watford-Tottenham,3.25,3.5,2.2,d
Arsenal-Sheffield United,1.83,3.6,4.33,d
Brighton-Aston Villa,1.66,4,5,d
Man City-Crystal Palace,1.1,11,19,d
Norwich-Bournemouth,2.2,3.5,3.25,w
Southampton-Wolves,2.4,3.4,3,l
West Ham-Everton,2.9,3.5,2.37,d
Newcastle-Chelsea,6,4.5,1.5,w
Burnley-Leicester,4.33,3.75,1.83,w
Liverpool-Man United,1.36,5.25,8,w
Aston Villa-Watford,2.8,3.5,2.45,w
Bournemouth-Brighton,2.87,3.4,2.45,w
Crystal Palace-Southampton,2.7,3.25,2.7,l
Everton-Newcastle,1.55,4.1,6,d
Sheffield United-Man City,7,5,1.4,l
Chelsea-Arsenal,1.72,3.9,4.5,d
Leicester-West Ham,1.53,4.33,6,w
Tottenham-Norwich,1.4,5,7.5,w
Man United-Burnley,1.36,4.75,9,l
Wolves-Liverpool,5.75,3.8,1.61,l
West Ham-Liverpool,8.5,5.5,1.33,l
Leicester-Chelsea,2.5,3.6,2.7,d
Bournemouth-Aston Villa,2.1,3.6,3.3,w
Crystal Palace-Sheffield United,3.1,3.1,2.5,l
Liverpool-Southampton,1.25,6,12,w
Newcastle-Norwich,2.2,3.4,3.3,d
Watford-Everton,2.75,3.3,2.62,l
West Ham-Brighton,2.6,3.3,2.75,d
Man United-Wolves,2.25,3.25,3.4,d
Burnley-Arsenal,3.6,3.6,2,d
Tottenham-Man City,5.5,4.6,1.53,w
Everton-Crystal Palace,1.61,3.8,6,w
Brighton-Watford,2.1,3.4,3.6,d
Sheffield United-Bournemouth,1.66,3.6,5.75,w
Wolves-Leicester,2.5,3.3,2.87,d
Southampton-Burnley,1.75,3.8,4.75,l
Norwich-Liverpool,11,6.25,1.25,l
Aston Villa-Tottenham,4,3.8,1.85,l
Arsenal-Newcastle,1.4,4.75,8,w
Chelsea-Man United,1.85,3.5,4.5,l
Man City-West Ham,1.12,9.5,17,w
Chelsea-Tottenham,1.72,4,4.5,w
Burnley-Bournemouth,2.1,3.3,3.7,w
Crystal Palace-Newcastle,1.95,3.4,4.2,w
Sheffield United-Brighton,1.95,3.4,4.2,d
Southampton-Aston Villa,1.61,4.33,5,w
Leicester-Man City,4.5,4.2,1.7,l
Man United-Watford,1.6,3.9,6,w
Wolves-Norwich,1.5,4.2,7,w
Arsenal-Everton,2,3.6,3.7,w
Liverpool-West Ham,1.16,8,15,w
Norwich-Leicester,4.33,4.1,1.72,w
Brighton-Crystal Palace,2.05,3.25,3.9,l
Bournemouth-Chelsea,4.75,3.8,1.72,d
Newcastle-Burnley,2.62,3.1,2.9,d
West Ham-Southampton,2.65,3.6,2.5,w
Watford-Liverpool,8,4.75,1.4,w
Everton-Man United,2.5,3.25,2.9,d
Tottenham-Wolves,2.45,3.2,3,l
Liverpool-Bournemouth,1.22,6.5,13,w
Arsenal-West Ham,1.57,4.4,5.5,w
Crystal Palace-Watford,2.55,3.2,2.9,w
Sheffield United-Norwich,1.65,3.75,5.75,w
Southampton-Newcastle,1.61,4.1,5.25,l
Wolves-Brighton,1.61,3.9,5.75,d
Burnley-Tottenham,2.7,3.3,2.62,d
Chelsea-Everton,1.8,3.9,4.2,w
Man United-Man City,5,4.33,1.6,w
Leicester-Aston Villa,1.36,5.25,8,w
Aston Villa-Sheffield United,3.2,3.4,2.25,d
Man City-Arsenal,1.36,5.25,7.5,w
Norwich-Southampton,2.8,3.5,2.45,l
Tottenham-Man United,3,3.4,2.37,d
Watford-Leicester,3.6,3.5,2.05,d
Brighton-Arsenal,3.1,3.25,2.37,w
West Ham-Wolves,3.6,3.4,2.1,l
Bournemouth-Crystal Palace,2.45,3.2,3,l
Newcastle-Sheffield United,3.3,3.1,2.37,w
Aston Villa-Chelsea,6,4.5,1.5,l
Everton-Liverpool,6,4.2,1.55,d
Man City-Burnley,1.12,9,15,w
Leicester-Brighton,1.6,4,5.75,d
Tottenham-West Ham,1.66,4,5,w
Man United-Sheffield United,1.4,4.5,8.5,w
Newcastle-Aston Villa,2.3,3.3,3.2,d
Norwich-Everton,3.9,3.6,1.9,l
Wolves-Bournemouth,1.55,4,6,w
Liverpool-Crystal Palace,1.22,6.5,13,w
Burnley-Watford,3,3.25,2.45,w
Southampton-Arsenal,2.6,3.5,2.62,l
Chelsea-Man City,4,4,1.8,w
Aston Villa-Wolves,4.6,3.7,1.75,l
Watford-Southampton,2.5,3.3,2.87,l
Crystal Palace-Burnley,2.25,3.2,3.4,l
Brighton-Man United,6,3.8,1.61,l
Arsenal-Norwich,1.44,4.75,7,w
Bournemouth-Newcastle,2.4,3.1,3.2,l
Everton-Leicester,2.5,3.3,2.9,w
West Ham-Chelsea,5.5,4.33,1.57,w
Sheffield United-Tottenham,4.2,3.4,1.95,w
Man City-Liverpool,2.05,3.9,3.3,w
Norwich-Brighton,3.3,3.4,2.2,l
Leicester-Crystal Palace,1.66,3.6,5.75,w
Man United-Bournemouth,1.16,7.5,17,w
Wolves-Arsenal,2.25,3.4,3.25,l
Chelsea-Watford,1.4,4.75,8,w
Burnley-Sheffield United,2.9,3,2.7,d
Newcastle-West Ham,2.6,3.3,2.75,d
Liverpool-Aston Villa,1.33,5.5,8.5,w
Southampton-Man City,8.5,6,1.3,w
Tottenham-Everton,2.1,3.5,3.4,w
Crystal Palace-Chelsea,8.5,4.5,1.4,l
Watford-Norwich,1.7,3.75,5,w
Arsenal-Leicester,2.3,3.5,3,d
Man City-Newcastle,1.12,9,21,w
Sheffield United-Wolves,3.8,3.2,2.1,w
West Ham-Burnley,2,3.4,3.9,l
Brighton-Liverpool,6,4.33,1.53,l
Bournemouth-Tottenham,5.25,3.8,1.66,d
Everton-Southampton,2.05,3.5,3.6,d
Aston Villa-Man United,9,5.25,1.33,l
Norwich-West Ham,3.75,3.75,1.95,l
Watford-Newcastle,1.8,3.6,4.5,w
Liverpool-Burnley,1.22,6.5,12,d
Sheffield United-Chelsea,6,3.8,1.6,w
Brighton-Man City,10,5.5,1.28,l
Wolves-Everton,2.05,3.3,3.8,w
Aston Villa-Crystal Palace,2.25,3.3,3.3,w
Tottenham-Arsenal,2.62,3.4,2.7,w
Bournemouth-Leicester,5.25,3.8,1.66,w
Man United-Southampton,1.3,5.5,10,d
Chelsea-Norwich,1.12,9.5,17,w
Burnley-Wolves,4.5,3.3,1.9,d
Man City-Bournemouth,1.14,8.5,17,w
Newcastle-Tottenham,4.6,3.8,1.75,l
Arsenal-Liverpool,3.8,3.8,1.9,w
Everton-Aston Villa,2,3.5,3.75,d
Leicester-Sheffield United,2.05,3.25,3.9,w
Crystal Palace-Man United,9.5,4.75,1.36,l
Southampton-Brighton,2.15,3.3,3.5,d
West Ham-Watford,2.4,3,3.3,w
Norwich-Burnley,3.2,3.4,2.25,l
Bournemouth-Southampton,2.4,3.6,2.8,l
Tottenham-Leicester,2.25,3.3,3.25,w
Brighton-Newcastle,1.9,3.4,4.33,d
Sheffield United-Everton,2.2,3.25,3.5,l
Wolves-Crystal Palace,1.5,4,7.5,w
Watford-Man City,8.5,5.5,1.33,l
Aston Villa-Arsenal,3.3,3.6,2.1,w
Man United-West Ham,1.22,6.5,11,d
Liverpool-Chelsea,2,3.75,3.5,w
Arsenal-Watford,1.9,3.8,3.8,w
Burnley-Brighton,2.37,3.4,3,l
Chelsea-Wolves,1.85,3.8,4,w
Crystal Palace-Tottenham,6,4.2,1.55,d
Everton-Bournemouth,2.25,3.7,3,l
Leicester-Man United,3.25,3.5,2.2,l
Man City-Norwich,1.08,11,26,w
Newcastle-Liverpool,7.5,5.25,1.36,l
Southampton-Sheffield United,2.15,3.5,3.3,w
West Ham-Aston Villa,3,3.6,2.3,d
Man United-Leicester,1.57,3.9,7.5,w
Bournemouth-Cardiff,1.9,3.6,4.5,w
Fulham-Crystal Palace,2.5,3.4,3,l
Huddersfield-Chelsea,6.5,4,1.61,l
Newcastle-Tottenham,3.9,3.5,2.04,l
Watford-Brighton,2.37,3.2,3.4,w
Wolves-Everton,2.37,3.3,3.3,d
Arsenal-Man City,4,3.8,1.95,l
Liverpool-West Ham,1.25,6.5,14,w
Southampton-Burnley,1.85,3.5,5,d
Cardiff-Newcastle,3.25,3.1,2.54,d
Chelsea-Arsenal,1.8,4,4.5,w
Everton-Southampton,1.9,3.5,4.75,w
Leicester-Wolves,2.04,3.5,3.9,w
Tottenham-Fulham,1.28,6,12,w
West Ham-Bournemouth,2.1,3.6,3.7,l
Brighton-Man United,5.5,3.6,1.75,w
Burnley-Watford,2.45,3.1,3.4,l
Man City-Huddersfield,1.1,13,26,w
Crystal Palace-Liverpool,7,5,1.44,l
Arsenal-West Ham,1.36,5.5,9,w
Bournemouth-Everton,2.62,3.6,2.75,d
Huddersfield-Cardiff,2.37,3,3.7,d
Liverpool-Brighton,1.16,8.5,19,w
Southampton-Leicester,2.45,3.2,3.25,l
Wolves-Man City,11,6.5,1.28,d
Fulham-Burnley,2,3.4,4.33,w
Newcastle-Chelsea,5.75,4,1.66,l
Watford-Crystal Palace,2.6,3.25,3,w
Man United-Tottenham,2.62,3.3,2.9,l
Brighton-Fulham,2.3,3.4,3.4,d
Chelsea-Bournemouth,1.3,6,11,w
Crystal Palace-Southampton,2,3.5,4.2,l
Everton-Huddersfield,1.53,4.2,7.5,d
Leicester-Liverpool,7.5,5,1.44,l
Man City-Newcastle,1.11,11,26,w
West Ham-Wolves,2.6,3.4,2.87,l
Burnley-Man United,6,3.75,1.7,l
Cardiff-Arsenal,6.5,4.33,1.57,l
Watford-Tottenham,5.5,4.2,1.64,w
Bournemouth-Leicester,2.45,3.5,3,w
Chelsea-Cardiff,1.18,8,19,w
Huddersfield-Crystal Palace,3.3,3.1,2.5,l
Man City-Fulham,1.12,10,26,w
Newcastle-Arsenal,4.2,3.8,1.9,l
Tottenham-Liverpool,3,3.6,2.4,l
Watford-Man United,4.33,3.6,1.95,l
Everton-West Ham,2,3.75,3.9,l
Wolves-Burnley,1.75,3.6,5.75,w
Southampton-Brighton,2.1,3.4,3.9,d
Brighton-Tottenham,5,4,1.75,l
Burnley-Bournemouth,3,3.4,2.5,w
Cardiff-Man City,23,8,1.16,l
Crystal Palace-Newcastle,2.14,3.4,3.75,d
Fulham-Watford,2.54,3.5,2.9,d
Leicester-Huddersfield,1.61,4,6.5,w
Liverpool-Southampton,1.2,7.5,17,w
Man United-Wolves,1.57,4.33,6.5,d
Arsenal-Everton,1.44,5,7.5,w
West Ham-Chelsea,6,4.5,1.57,d
Arsenal-Watford,1.44,5.1,7,w
Chelsea-Liverpool,2.8,3.6,2.54,d
Everton-Fulham,1.75,4.2,4.75,w
Huddersfield-Tottenham,8.5,4.5,1.44,l
Man City-Brighton,1.1,12,34,w
Newcastle-Leicester,2.6,3.3,3,l
West Ham-Man United,4.5,3.8,1.85,w
Wolves-Southampton,1.8,3.6,5.25,w
Cardiff-Burnley,2.62,3,3.2,l
Bournemouth-Crystal Palace,2.25,3.5,3.4,w
Brighton-West Ham,2.7,3.3,2.87,w
Burnley-Huddersfield,2.14,3.1,4.2,d
Crystal Palace-Wolves,3,3.2,2.62,l
Leicester-Everton,2.2,3.4,3.6,l
Man United-Newcastle,1.44,4.5,9,w
Tottenham-Cardiff,1.22,7,15,w
Watford-Bournemouth,2.14,3.6,3.5,l
Fulham-Arsenal,5.25,4.33,1.66,l
Liverpool-Man City,2.54,3.6,2.8,d
Southampton-Chelsea,6,4.1,1.61,l
Bournemouth-Southampton,2.04,3.7,3.75,d
Cardiff-Fulham,2.5,3.5,2.95,w
Chelsea-Man United,1.75,3.8,5.25,d
Huddersfield-Liverpool,11,5.5,1.33,l
Man City-Burnley,1.08,13,34,w
Newcastle-Brighton,2.2,3.25,3.8,l
West Ham-Tottenham,4.1,3.9,1.9,l
Wolves-Watford,1.75,3.75,5.25,l
Everton-Crystal Palace,1.85,3.6,4.75,w
Arsenal-Leicester,1.53,4.5,6.5,w
Brighton-Wolves,3.2,3.2,2.5,w
Fulham-Bournemouth,2.9,3.75,2.4,l
Leicester-West Ham,2.1,3.5,3.8,d
Liverpool-Cardiff,1.11,11,26,w
Southampton-Newcastle,2.1,3.4,3.9,d
Watford-Huddersfield,1.75,3.75,5.25,w
Burnley-Chelsea,11,5,1.36,l
Crystal Palace-Arsenal,4.75,4.1,1.75,d
Man United-Everton,1.72,3.9,5.25,w
Tottenham-Man City,4.75,4.1,1.75,l
Arsenal-Liverpool,3.9,3.9,1.95,d
Bournemouth-Man United,3.6,3.7,2.1,l
Cardiff-Leicester,3.8,3.4,2.14,l
Everton-Brighton,1.61,4,6.5,w
Newcastle-Watford,2.75,3.25,2.8,w
West Ham-Burnley,1.75,3.75,5.25,w
Wolves-Tottenham,3.1,3.4,2.45,l
Chelsea-Crystal Palace,1.25,6.75,13,w
Man City-Southampton,1.11,11,29,w
Huddersfield-Fulham,2.3,3.5,3.3,w
Cardiff-Brighton,2.6,3.1,3.1,w
Crystal Palace-Tottenham,4.5,3.75,1.85,l
Huddersfield-West Ham,3.4,3.25,2.35,d
Leicester-Burnley,1.5,4.33,8,d
Newcastle-Bournemouth,2.9,3.4,2.6,w
Southampton-Watford,2.5,3.3,3.1,d
Arsenal-Wolves,1.66,4.2,5.25,d
Chelsea-Everton,1.4,5.25,8.5,d
Liverpool-Fulham,1.11,11,26,w
Man City-Man United,1.4,5.25,8.5,w
Brighton-Leicester,2.9,3.4,2.6,d
Everton-Cardiff,1.4,5,9,w
Fulham-Southampton,2.62,3.5,2.8,w
Man United-Crystal Palace,1.4,5.25,8,d
Tottenham-Chelsea,2.8,3.5,2.6,w
Watford-Liverpool,6.5,4.33,1.55,l
West Ham-Man City,13,6.5,1.25,l
Bournemouth-Arsenal,3.5,3.75,1.95,l
Wolves-Huddersfield,1.5,4.33,8,l
Burnley-Newcastle,2.9,3.2,2.75,l
Cardiff-Wolves,3.8,3.25,2.2,w
Crystal Palace-Burnley,1.61,3.9,6.5,w
Huddersfield-Brighton,2.5,3,3.4,l
Leicester-Watford,2.25,3.3,3.6,w
Man City-Bournemouth,1.11,11,26,w
Newcastle-West Ham,2.5,3.3,3.1,l
Southampton-Man United,4.33,3.6,1.95,d
Arsenal-Tottenham,2.62,3.6,2.75,w
Chelsea-Fulham,1.18,8,17,w
Liverpool-Everton,1.4,5,9,w
Bournemouth-Huddersfield,1.66,3.8,6,w
Brighton-Crystal Palace,3,3.1,2.7,w
Watford-Man City,11,6,1.3,l
West Ham-Cardiff,1.66,4,5.75,w
Burnley-Liverpool,14,5.75,1.28,l
Everton-Newcastle,1.6,4,6.5,d
Fulham-Leicester,3,3.5,2.45,d
Man United-Arsenal,2.45,3.5,3,d
Tottenham-Southampton,1.36,5.25,9.5,w
Wolves-Chelsea,5,3.75,1.8,w
Arsenal-Huddersfield,1.28,6,12,w
Bournemouth-Liverpool,5.75,4.5,1.6,l
Burnley-Brighton,2.9,3.2,2.75,w
Cardiff-Southampton,2.9,3.25,2.7,w
Chelsea-Man City,4,3.8,1.95,w
Leicester-Tottenham,3.8,3.75,2,l
Man United-Fulham,1.33,5.75,10,w
West Ham-Crystal Palace,2.3,3.4,3.4,w
Newcastle-Wolves,2.9,3.2,2.7,l
Everton-Watford,1.8,3.75,5,d
Crystal Palace-Leicester,2.62,3.2,3,w
Fulham-West Ham,2.9,3.6,2.5,l
Huddersfield-Newcastle,2.6,3.1,3.1,l
Man City-Everton,1.22,7.5,13,w
Tottenham-Burnley,1.18,8,19,w
Watford-Cardiff,1.64,3.9,6,w
Wolves-Bournemouth,1.95,3.6,4.33,w
Brighton-Chelsea,7.5,4.5,1.5,l
Liverpool-Man United,1.57,4.5,6,w
Southampton-Arsenal,4.1,3.9,1.9,w
Wolves-Liverpool,7,4,1.57,l
Arsenal-Burnley,1.25,6.5,15,w
Bournemouth-Brighton,1.9,3.7,4.33,w
Cardiff-Man United,6.5,4.2,1.57,l
Chelsea-Leicester,1.33,5.5,11,l
Huddersfield-Southampton,3.1,3.1,2.6,l
Man City-Crystal Palace,1.14,10,21,l
Newcastle-Fulham,2,3.6,4,d
West Ham-Watford,2.37,3.5,3.1,l
Everton-Tottenham,3.25,3.5,2.3,l
Brighton-Arsenal,5.25,3.9,1.72,d
Burnley-Everton,4.33,3.5,1.95,l
Crystal Palace-Cardiff,1.66,4,5.75,d
Fulham-Wolves,3.25,3.4,2.37,d
Leicester-Man City,9.5,5.25,1.36,w
Liverpool-Newcastle,1.16,8.5,19,w
Man United-Huddersfield,1.25,6.5,15,w
Tottenham-Bournemouth,1.36,5.5,9,w
Watford-Chelsea,5.25,3.8,1.75,l
Southampton-West Ham,2.3,3.5,3.3,l
Brighton-Everton,3.25,3.4,2.14,w
Fulham-Huddersfield,2,3.4,3.75,w
Leicester-Cardiff,1.55,4,6,l
Liverpool-Arsenal,1.5,4.5,5.75,w
Tottenham-Wolves,1.33,5,8.5,l
Watford-Newcastle,1.85,3.6,4,d
Burnley-West Ham,3.3,3.2,2.25,w
Crystal Palace-Chelsea,4.75,4,1.66,l
Man United-Bournemouth,1.33,4.75,10,w
Southampton-Man City,10,5.25,1.3,l
Arsenal-Fulham,1.33,5.75,9.5,w
Cardiff-Tottenham,7.5,4.5,1.5,l
Everton-Leicester,2,3.5,4.2,l
Bournemouth-Watford,2.6,3.6,2.75,d
Chelsea-Southampton,1.28,6.5,11,d
Huddersfield-Burnley,2.14,3.1,4.2,l
Newcastle-Man United,6,4.2,1.61,l
West Ham-Brighton,1.95,3.75,4,d
Wolves-Crystal Palace,2,3.4,4.33,l
Man City-Liverpool,2.04,3.8,3.6,w
Brighton-Liverpool,11,6,1.3,l
Burnley-Fulham,2.4,3.3,3.25,w
Cardiff-Huddersfield,2.25,3.25,3.6,d
Chelsea-Newcastle,1.22,7,15,w
Crystal Palace-Watford,2.25,3.4,3.5,l
Leicester-Southampton,1.95,3.5,4.33,l
West Ham-Arsenal,3.5,4,2.05,w
Everton-Bournemouth,1.75,4,4.8,w
Tottenham-Man United,2.05,3.7,3.75,l
Man City-Wolves,1.18,8,17,w
Arsenal-Chelsea,3.1,3.6,2.37,w
Bournemouth-West Ham,2.37,3.7,3,w
Liverpool-Crystal Palace,1.2,7.5,17,w
Man United-Brighton,1.3,5.75,12,w
Newcastle-Cardiff,1.95,3.4,4.5,w
Southampton-Everton,2.75,3.4,2.7,w
Watford-Burnley,1.65,4,5.75,d
Wolves-Leicester,2.37,3.2,3.4,w
Fulham-Tottenham,5.25,3.8,1.75,l
Huddersfield-Man City,21,8.5,1.16,l
Arsenal-Cardiff,1.22,7,15,w
Fulham-Brighton,2.37,3.3,3.3,w
Huddersfield-Everton,4,3.3,2.1,l
Man United-Burnley,1.28,6,12,d
Newcastle-Man City,19,8,1.18,w
Wolves-West Ham,2.1,3.5,3.75,w
Bournemouth-Chelsea,5.25,4.2,1.66,w
Liverpool-Leicester,1.22,7,15,d
Southampton-Crystal Palace,2.4,3.4,3.2,d
Tottenham-Watford,1.66,4,5.75,w
Brighton-Watford,2.55,3.3,3,d
Burnley-Southampton,2.55,3.5,2.87,d
Cardiff-Bournemouth,3.25,3.5,2.3,w
Chelsea-Huddersfield,1.2,7.5,19,w
Crystal Palace-Fulham,2.05,3.5,4,w
Everton-Wolves,2.37,3.4,3.25,l
Tottenham-Newcastle,1.44,4.5,9,w
Leicester-Man United,3.6,3.5,2.15,l
Man City-Arsenal,1.33,6,9,w
West Ham-Liverpool,8,5.25,1.4,d
Everton-Man City,10,6.25,1.3,l
Brighton-Burnley,2.05,3.3,4.2,l
Crystal Palace-West Ham,2.1,3.5,3.75,d
Fulham-Man United,5.5,4.4,1.61,l
Huddersfield-Arsenal,5.75,4.4,1.6,l
Liverpool-Bournemouth,1.22,7.5,14,w
Southampton-Cardiff,1.75,3.9,5,l
Watford-Everton,2.35,3.5,3.2,w
Man City-Chelsea,1.5,4.75,7,w
Tottenham-Leicester,1.7,3.9,5.5,w
Wolves-Newcastle,1.7,3.75,5.75,d
Cardiff-Watford,3.1,3.4,2.45,l
West Ham-Fulham,1.95,3.8,4,w
Bournemouth-Wolves,2.87,3.4,2.62,d
Burnley-Tottenham,5.75,3.8,1.7,w
Leicester-Crystal Palace,2.25,3.4,3.5,l
Newcastle-Huddersfield,1.83,3.5,5.25,w
Arsenal-Southampton,1.5,4.75,7,w
Man United-Liverpool,3.1,3.5,2.37,d
Cardiff-Everton,3.75,3.4,2.15,l
Huddersfield-Wolves,5,3.5,1.85,w
Leicester-Brighton,1.9,3.5,4.6,w
Newcastle-Burnley,2.15,3.3,3.9,w
Arsenal-Bournemouth,1.44,5,7.5,w
Chelsea-Tottenham,2.3,3.5,3.25,w
Crystal Palace-Man United,3.25,3.5,2.3,l
Liverpool-Watford,1.28,6,12,w
Man City-West Ham,1.16,9,19,w
Southampton-Fulham,1.9,3.7,4.33,w
Bournemouth-Man City,13,7.5,1.22,l
Brighton-Huddersfield,1.85,3.4,5.25,w
Burnley-Crystal Palace,2.8,3.3,2.75,l
Man United-Southampton,1.45,4.5,8.5,w
Tottenham-Arsenal,2.05,3.7,3.75,d
West Ham-Newcastle,2.15,3.5,3.6,w
Wolves-Cardiff,1.5,4.33,8,w
Everton-Liverpool,6,4.2,1.61,d
Fulham-Chelsea,6.5,4.5,1.53,l
Watford-Leicester,2.55,3.3,3,w
Cardiff-West Ham,3.6,3.5,2.15,w
Crystal Palace-Brighton,1.83,3.6,5,l
Huddersfield-Bournemouth,3.4,3.3,2.35,l
Leicester-Fulham,1.57,4.5,6,w
Man City-Watford,1.16,9,19,w
Newcastle-Everton,2.8,3.25,2.8,w
Southampton-Tottenham,4.5,3.8,1.85,w
Arsenal-Man United,2.4,3.6,3,w
Chelsea-Wolves,1.55,4.2,7,d
Liverpool-Burnley,1.16,8.5,21,w
Bournemouth-Newcastle,2.05,3.6,3.8,d
Burnley-Leicester,3.1,3.4,2.45,l
West Ham-Huddersfield,1.55,4.2,7,w
Everton-Chelsea,4,3.8,1.95,w
Fulham-Liverpool,12,7,1.25,l
Brighton-Southampton,2.55,3.2,3.1,l
Burnley-Wolves,3.2,3.25,2.45,w
Crystal Palace-Huddersfield,1.45,4.4,9,w
Fulham-Man City,21,11,1.12,l
Leicester-Bournemouth,1.85,3.8,4.5,w
Man United-Watford,1.44,4.75,8,w
West Ham-Everton,2.55,3.5,2.9,l
Cardiff-Chelsea,9,4.5,1.44,l
Liverpool-Tottenham,1.61,4.2,6,w
Arsenal-Newcastle,1.36,5.25,9.5,w
Watford-Fulham,1.72,4,5,w
Wolves-Man United,4,3.6,2,w
Chelsea-Brighton,1.25,6.5,15,w
Man City-Cardiff,1.06,17,34,w
Tottenham-Crystal Palace,1.45,5,7.5,w
Southampton-Liverpool,9,5,1.4,l
Bournemouth-Burnley,2.1,3.6,3.75,l
Huddersfield-Leicester,5,4,1.72,l
Newcastle-Crystal Palace,2.6,3.25,3,l
Everton-Arsenal,3,3.75,2.35,w
Chelsea-West Ham,1.33,5.75,9.5,w
Leicester-Newcastle,1.66,4,5.75,l
Brighton-Bournemouth,2.3,3.4,3.4,l
Burnley-Cardiff,1.9,3.6,4.5,w
Fulham-Everton,5,4,1.75,w
Man United-West Ham,1.4,5.25,8.5,w
Southampton-Wolves,2.6,3.25,3,w
Tottenham-Huddersfield,1.22,7,15,w
Crystal Palace-Man City,11,6,1.3,l
Liverpool-Chelsea,1.66,4.2,5.25,w
Watford-Arsenal,3.2,3.75,2.25,l
Brighton-Cardiff,2,3.3,4.5,l
Bournemouth-Fulham,1.65,4.4,5.25,l
Huddersfield-Watford,4.4,3.9,1.85,l
Man City-Tottenham,1.3,6,11,w
Newcastle-Southampton,2.55,3.2,3.1,w
West Ham-Leicester,3.3,3.5,2.3,d
Wolves-Brighton,1.75,3.5,6,d
Arsenal-Crystal Palace,1.53,4.6,6.5,l
Cardiff-Liverpool,17,7.5,1.2,l
Everton-Man United,3.25,3.5,2.3,w
Chelsea-Burnley,1.25,6.25,15,d
Tottenham-Brighton,1.28,6,13,w
Watford-Southampton,2.25,3.5,3.4,d
Man United-Man City,7.5,5,1.44,l
Wolves-Arsenal,2.9,3.5,2.55,w
Liverpool-Huddersfield,1.07,15,41,w
Brighton-Newcastle,2.3,3.2,3.6,d
Crystal Palace-Everton,2.62,3.5,2.8,d
Fulham-Cardiff,2.4,3.6,3,w
Southampton-Bournemouth,1.9,3.9,4.1,d
Tottenham-West Ham,1.4,5.5,7.5,l
Watford-Wolves,2.62,3.3,2.9,l
Burnley-Man City,23,9,1.14,l
Leicester-Arsenal,2.75,3.6,2.6,w
Man United-Chelsea,2.7,3.5,2.7,d
Everton-Burnley,1.66,4,5.75,w
Bournemouth-Tottenham,4,4,1.9,w
Cardiff-Crystal Palace,2.6,3.75,2.7,l
Newcastle-Liverpool,9.5,5.25,1.36,l
West Ham-Southampton,2.3,3.75,3.1,w
Wolves-Fulham,1.53,4.2,7.5,w
Arsenal-Brighton,1.4,5,9,d
Chelsea-Watford,1.4,5.25,8,w
Huddersfield-Man United,11,6,1.3,d
Man City-Leicester,1.12,8.5,17,w
Brighton-Man City,19,8.5,1.16,l
Burnley-Arsenal,3.25,3.8,2.2,l
Crystal Palace-Bournemouth,1.9,4.2,3.8,w
Fulham-Newcastle,2.5,3.6,2.9,l
Leicester-Chelsea,2.4,3.75,2.9,d
Liverpool-Wolves,1.3,6,11,w
Man United-Cardiff,1.28,6.5,11,l
Southampton-Huddersfield,1.44,4.75,8.5,d
Tottenham-Everton,2.2,3.5,3.5,d
Watford-West Ham,2.25,3.75,3.2,l
Arsenal-Leicester,1.53,4.5,6.5,w
Brighton-Man City,11,5.5,1.33,l
Chelsea-Burnley,1.25,6.5,15,l
